id,R_1,G_1,B_1,R_2,G_2,B_2,R_3,G_3,B_3,R_4,G_4,B_4,R_5,G_5,B_5,R_6,G_6,B_6,R_7,G_7,B_7,R_8,G_8,B_8,label
130,4.932474,4.780194,5.090937,1.875913,1.623004,1.467472,2.373715,1.124052,1.954684,-9.491206,-10.297215,-3.925218,4.196499,3.303109,1.448659,0.477548,2.438723,1.70089,-9.419457,-3.613663,-1.958871,-10.363837,-3.754985,-2.514716,0
131,-2.437103,-2.308279,-2.544112,-3.197179,-3.35778,-4.054306,7.809551,1.505819,0.975646,-9.362899,-10.13169,-3.979276,-4.210174,-4.63572,-5.528485,1.650108,3.061995,0.797344,-3.967104,-1.581964,-1.141696,-7.846255,-4.003516,-3.136632,0
132,2.702253,3.100649,2.935898,-0.829531,-1.205464,-1.676765,5.777191,-0.136789,0.976817,-1.8371,-3.760626,-1.463575,-4.315139,-3.743889,-5.410324,-7.540845,-4.856798,-4.455995,-9.822462,-4.237183,-3.057295,-10.544062,-4.995128,-2.665774,0
133,3.255733,3.319196,3.598931,-4.001218,-4.38554,-4.444193,3.622808,-0.290876,1.091286,-6.557904,-7.722119,-2.53543,0.293147,-0.045601,-1.919366,0.133197,0.935057,1.143862,-4.543625,-2.421678,-1.95817,-5.23524,-1.957134,-2.374171,0
134,-1.98385,-1.997948,-2.903622,5.459289,2.838721,3.985691,3.214717,-0.265018,-0.331914,0.160893,-3.15345,-1.274302,-4.139022,-4.455485,-5.325322,-24.20942,-20.965414,-2.162728,-22.221136,-8.730953,-2.902063,-32.848906,-12.333996,-4.074957,0
135,-0.221,0.054378,-0.107878,0.417726,0.671182,0.835197,4.041172,0.556726,0.41804,-3.01896,-4.422745,-0.232434,-5.255678,-4.701378,-6.052604,-2.733504,-1.040489,-1.893153,-10.494796,-5.572495,-3.615752,-10.232906,-4.830722,-3.210001,0
136,4.680067,4.512426,4.852673,-0.201171,-0.611897,-0.797363,9.333817,0.688191,-0.966969,9.060657,4.426168,1.640837,-6.323753,-5.163404,-5.491461,-14.188972,-11.912819,-0.148972,-14.643073,-5.884136,-1.612939,-19.286986,-7.287923,-1.454253,0
137,2.674754,3.920877,3.505134,-5.347172,-3.366676,-0.475639,6.922104,0.103635,-1.519891,2.231807,-1.909981,-1.751707,-12.643614,-10.736898,-11.331173,-2.334073,-1.439432,0.453189,-10.754021,-5.085754,-2.820887,-18.814592,-9.654083,-5.739681,0
138,-2.502605,-2.861332,-3.245957,-0.87746,-0.845904,-1.220137,5.147995,-0.229864,-1.050887,-0.877197,-3.880208,-4.887151,-8.05669,-7.454259,-8.377026,-2.778083,-1.701839,-1.015519,-10.130913,-6.269624,-4.918937,1.392905,3.003213,2.455771,0
139,1.041758,2.077849,1.240201,3.30155,1.962015,2.574812,2.160254,-0.836917,-1.348614,1.859833,-0.131152,-0.225819,-5.088281,-4.635774,-5.666509,0.842896,1.600103,-1.71104,-4.74778,-2.711876,-2.715517,0.719585,1.401895,1.547325,0
140,2.780667,3.291454,2.922047,2.470576,2.224662,2.07778,0.905754,-2.261045,-1.614758,-7.571809,-7.451414,-3.057995,2.362058,1.617055,-0.637698,-3.692379,-1.856708,-2.484357,-12.279917,-7.532511,-5.841398,-9.229244,-4.268348,-3.897089,0
